,Finess,Nom de l'établissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
12,350005179.0,CHU DE RENNES,JARNO,Pascal,"Le représentant des usagers dans la prévention des
infections nosocomiales : quelles modalités pour un soutien adapté à son implication dans le nouveau contexte institutionnel ?",12-009-0035,RUPIN,76184.90000000001,2012,,PREPS
13,470000423.0,CH AGEN,LABAT,Mathieu,"Comment les mangers peuvent-ils créer une culture de
sécurité dans les établissements de santé ?",12-004-0096,RMCS,216119.2,2012,,PREPS
14,750712184.0,ASSISTANCE PUBLIQUE AP-HP,LUCET,Jean-Christophe,Connaissances et perception de la résistance bactérienne aux antibiotiques dans les établissements de santé français,12-002-0077,PerceptR,380188.60000000003,2012,,PREPS
15,380780080.0,CHU GRENOBLE,MARTIN,Claudine,SORties PRécoces de maternité en ISEre,12-026-0034,SORPRISE,152394.0,2012,,PREPS
16,440000289.0,CHU DE NANTES,MORET,Leila,"Bientraitance en établissemens sanitaires et en EHPAD :
regard croisés des professionnels de santé et des patients,
résidents sur la Bientraitance",12-020-0040,CONVERGENGE,183656.00000000003,2012,,PREPS
17,370000481.0,CHRU DE TOURS,POURRAT,Xavier,Impact des transmissions pharmaceutiques Hôpital-Ville sur la prise en charge médicamenteuse des patients sortant d’hospitalisation : essai randomisé en cluster en cross-over,12-010-0054,REPHVIM,254056.00000000003,2012,,PREPS
18,750000523.0,GROUPE HOSPITALIER PARIS SAINT-JOSEPH,RAJZBAUM,Gérald ,Optimisation de la prise en charge de l’ostéoporose chez des sujets de plus de 45 ans ayant présenté une fracture de basse énergie : essai randomisé et contrôlé.,12-002-0073,OPTIPOST,214372.40000000002,2012,,PREPS
19,290000975.0,CENTRE DE SOINS DE SUITE ET DE READAPTATION SPECIALISE,RAULT,Gilles,Evaluation de la Performance des Microsystèmes Cliniques (MSC) dans le cadre du Programme Hospitalier d'Amélioration des Résultats et de l'Expertise en Mucoviscidose (PHARE-M),12-008-0099,PHAREM PERF MSC,523250.20000000007,2012,,PREPS
20,350005179.0,CHU DE RENNES,RIOU,Françoise,Connaitre et comprendre la prise en charge des urgences en fin de vie dans un établissement d'hébergement pour personnes âgées dépendantes,12-009-0016,PUFPAE,215161.1,2012,,PREPS
21,130786049.0,APHM,ROCH ,Antoine ,"Apport de la présence régulière d’un hygiéniste dans la
prévention des bactériémies acquises en réanimation",12-024-0036,BacterHy,414491.00000000006,2012,,PREPS
22,130786049.0,APHM,SARRADON-ECK,Aline,Recherche évaluative des processus de mise en oeuvre d'un dispositif alternatif à l'hospitalisation pour les personnes sans chez-soi avec des trubles psychiatriques sévères,12-024-0089,REDAP,192830.00000000003,2012,,PREPS
23,690781810.0,HOSPICES CIVILS DE LYON,SCHOTT,Anne-Marie,PREVention secondaire de l’OSTéoporose chez les femmes de plus de 50 ans après fracture de faible intensité du membre supérieur (1ere fracture) : Evaluation d’une prise en charge centrée sur le patient.,12-027-0088,PREVOST,238260.00000000003,2012,,PREPS
24,310781406.0,CHU DE TOULOUSE,TURNIN,Marie-Christine,Evaluation de l’efficacité d’un programme de télésurveillance au domicile et de son coût dans la prise en charge de patients diabétiques de type 2 recrutés à partir d’un réseau de soins,12-018-0078,EDUC@DOM,790086.0000000001,2012,,PREPS
25,690781810.0,HOSPICES CIVILS DE LYON,VERMONT,Jacques,Etude contrôlée randomisée en cluster évaluant l’impact d’une plateforme téléphonique dispensant des conseils standardisés en pédiatrie sur le nombre de consultations non programmées et non médicalement justifiées,12-027-0100,PLATEL-EVAL,69960.0,2012,,PREPS
0,750712184.0,ASSISTANCE PUBLIQUE AP-HP,LEPAGE ,Eric ,"Développement de méthodes d'évaluation de la création de valeur par l'usage des systèmes d’information
","12-002-0002 
",EVALSI,861850.0000000001,2012,,PREPS
1,690000880.0,CENTRE LEON BERARD,PERRIER ,Lionel ,"Evalution en Système d'Information
","12-111-0003 
","E-SI
",769093.6000000001,2012,,PREPS
0,60785011.0,CHU DE NICE,STACCINI,Pascal ,"Evaluation de l'information de prescription médicamenteuse par l'échange de données temps réel : le dossier pharmaceutique distribué
",13-0004 ,MATRIX-DPRS ,521900.77999999997,2013,,PREPS
0,380780080.0,CHU GRENOBLE,FRANÇOIS ,Patrice,"Réadmission précoce des patients hospitalisés pour infection respiratoire basse
",13-0002,R3P,393143.0,2013,,PREPS
1,750712184.0,ASSISTANCE PUBLIQUE AP-HP,GOFFINET,François,"Morbidité maternelle sévère dans le PMSi : développement et expérimentation d'un nouvel outil d'évaluation de la qualité des soins en obstétrique
",13-0058 ,"
MOMASSI
",231300.0,2013,,PREPS
2,440000289.0,CHU DE NANTES,GRAS-LE GUEN ,Christèle,"Validation d'indicateurs de prise en charge sub-optimale dans les infections bactériennes communautaires sévères de l'enfant
",13-0041,"
DIABACT IV
",247835.4,2013,,PREPS
0,750712184.0,ASSISTANCE PUBLIQUE AP-HP,ALBERTI,Corinne,Expertise par les pairs des projets de recherche institutionnels : Élaboration de recommandations par consensus formalisé,313.0,EXPAIRS2,99582.4,2013,,PREPS
1,130786049.0,APHM,AUQUIER,Pascal,Evaluation de l’adéquation entre l’état de santé des patients polyhandicapés et les structures de prise en charge : hospitalières versus médicosociales,105.0,Trajectoire-PLH,324895.0,2013,,PREPS
2,750712184.0,ASSISTANCE PUBLIQUE AP-HP,BEAUSSIER,Marc,Évaluation des modalités et de l'efficacité de la prise en charge des patients médicaux et chirurgicaux éligibles à l'admission en Unités de Surveillances Continues (USC).,610.0,UNISURC,609602.0,2013,,PREPS
3,690781810.0,HOSPICES CIVILS DE LYON,BONNEFOY,Marc,Impact d’un programme de soins de transition hôpital – domicile sur la fréquence des ré-hospitalisations non programmées à 30 jours de malades âgés hospitalisés en court séjour gériatrique : essai multicentrique randomisé en cluster de type stepped wedge.,367.0,PROUST,435868.0,2013,,PREPS
4,130786049.0,APHM,BOYER,Laurent,Elaboration et stratégie d’implantation d’un questionnaire adaptatif de la qualité des soins perçue par les patients en psychiatrie,91.0,QDS-Psy-CAT,282420.0,2013,,PREPS
5,940110018.0,CENTRE HOSPITALIER INTERCOMMUNAL DE CRETEIL,CAEYMAEX,Laurence,Etude épidémiologique sur les évènements indésirables en réanimation néonatale. Evaluation de l’efficacité d’une intervention multi-facette sur la réduction du taux des évènements indésirables,401.0,SEPADVEN,542554.0,2013,,PREPS
6,760780239.0,CHU ROUEN,CARON,François,La carte Vitale permet-elle de prédire l'antibiorésistance ? Etude pilote en vue de guider les schémas antibiotiques probabilistes des infections urinaires communautaires,69.0,Vitale,249146.05,2013,,PREPS
7,750712184.0,ASSISTANCE PUBLIQUE AP-HP,CHEVREUL,Karine,COmparaison des MEthodes de REcueil des consommations de soins des patients inclus dans les projets de recherche clinique intégrant une évaluation médico-économique,71.0,COMERE,95000.0,2013,,PREPS
8,590780193.0,CHRU LILLE,DERVAUX,Benoit,Construire un jugement partagé sur la performance des hôpitaux universitaires : l’exemple du CHRU de Lille,209.0,PERFHU,345937.6,2013,,PREPS
9,750712184.0,ASSISTANCE PUBLIQUE AP-HP,FERNANDEZ,Christine,"Développement de la conciliation médicamenteuse à l’aide du dossier pharmaceutique. Etude multicentrique nationale chez le sujet âgé hospitalisé en service de gériatrie, médecine interne et chirurgie orthopédique.",303.0,CONCIPAGE,551161.98,2013,,PREPS
10,440000289.0,CHU DE NANTES,GARRET,Nicole,Evaluation clinique des pratiques intégratives en unités de soins infanto-juvéniles pour des enfants présentant un autisme typique ou atypique.,205.0,AUTISME,323906.38,2013,,PREPS
11,370000481.0,CHRU DE TOURS,GIRAUDEAU,Bruno,Etude Méta-Epidémiologique : essais en Cluster vs essais à randomisation individuelle,15.0,MEpiCluster,57550.0,2013,,PREPS
12,750712184.0,ASSISTANCE PUBLIQUE AP-HP,GOTTOT,Serge,Transition des soins pédiatriques vers les soins pour adultes chez les adolescents atteints de maladies chroniques,298.0,TRANSAD,77710.82,2013,,PREPS
13,690781810.0,HOSPICES CIVILS DE LYON,KERIEL-GASCOU,Maud,"Etude PRisM : Pluriprofessionalité et gestion des Risques par un programme Multifacette en soins primaires : mise en place et évaluation dans les centres, pôles et maisons de santé pluridisciplinaires.",352.0,PRisM,492216.0,2013,,PREPS
14,690781810.0,HOSPICES CIVILS DE LYON,KROLAK-SALMON,Pierre,OPTImisation thérapeutique médicamenteuse auprès d’une population âgée reçue en consultation gériatrique et vivant à domicile,531.0,OPTIM,280244.42,2013,,PREPS
15,690781810.0,HOSPICES CIVILS DE LYON,LIFANTE,Jean-Christophe,Impact d’un Suivi Prospectif de la Performance des Equipes Chirurgicales par Carte de Contrôle,84.0,SHEWHART,695454.4,2013,,PREPS
16,750712184.0,ASSISTANCE PUBLIQUE AP-HP,MOURVILLIER,Bruno,"ENfant Visiteur En REanimation Evaluation de l'intérêt pour l'enfant d'une visite encadrée de son parent hospitalisé en réanimation: étude prospective, randomisée, contrôlée, multicentrique",167.0,ENVERE,209588.02,2013,,PREPS
17,690781810.0,HOSPICES CIVILS DE LYON,RODE,Gilles,Impact d’une intervention pluriprofessionnelle visant à améliorer l’ADhésion MEDicamenteuse (prévention secondaire cardio-neuro-vasculaire) chez les patients ayant présenté un Accident Vasculaire Cérébral Ischémique.,533.0,ADMED-AVC,215630.34,2013,,PREPS
18,330781196.0,CHU HOPITAUX DE BORDEAUX,SAILLOUR,Florence,Efficacité et conditions d’efficacité de la mise en place de combinaisons d’outils opérationnels de déploiement de la bientraitance en établissement de santé,210.0,MoSTRA,570970.5800000001,2013,,PREPS
19,350005179.0,CHU DE RENNES,VEILLARD,David,Prendre en compte le point de vue des aidants pour évaluer la qualité des soins aux patients atteints d'une pathologie chronique : un exemple appliqué à la Sclérose en Plaques (SEP),227.0,AQUASEP,264909.18,2013,,PREPS
20,750712184.0,ASSISTANCE PUBLIQUE AP-HP,YAZDANPANAH,Yazdan,Coût-efficacité des interventions visant à contrôler la transmission des bactéries à Gram-négatif multi-résistantes à l’hôpital : une modélisation mathématique,693.0,CEIBHOS,206530.0,2013,,PREPS
21,,,,,,,,,2013,,PREPS
0,750712184.0,ASSISTANCE PUBLIQUE AP-HP,AEGERTER,Philippe,Prédiction du potentiel d'inclusion des centres investigateurs dans les essais cliniques par un transcodage standardisé des critères de sélection et l'interrogation des bases de données PMSI,14-0607,Pred-Inclus,182211.0,2014,,PREPS
1,130786049.0,APHM,AUQUIER,Pascal,Mesure d’impact d’un modèle interventionnel de soins centré sur le rétablissement chez les schizophrènes sans abri. Etude comparative : RéTABlissement Schizophrène Sans-Abri (RETAB) ,14-0065,RETAB,452443.0,2014,,PREPS
2,210780581.0,CHU DIJON,BARDOU,Marc,"Impact d’une compensation économique conditionnée, sur le devenir de la grossesse chez des femmes enceintes aux ressources précaires : essai pragmatique randomisé en cluster, en bras parallèles.",14-0173,NAITRE,1295002.7,2014,,PREPS
3,130786049.0,APHM,BELZEAUX,Raoul ,Etude randomisée de l’efficacité d’une formation spécifique des professionnels de santé sur l’observance thérapeutique dans les troubles bipolaires : étude CONCORDE.,14-0503,CONCORDE,291474.0,2014,,PREPS
4,130786049.0,APHM,BERBIS,Julie,Suivi organisé des pathologies chroniques comme modèle de réduction des inégalités sociales de santé - application aux survivants d'une leucémie survenant dans l'enfance ou l'adolescence : Réduction des Inégalités Sociales de Santé et Suivi organisé -RI3S,14-0120,RI3S,325640.2,2014,,PREPS
5,590780193.0,CHRU LILLE,BERKHOUT,Christophe,Participation au dépistage du cancer du col de l’utérus : intérêt d'un dispositif d’autoprélèvement HPV par lavage vaginal remis par le médecin généraliste traitant,14-0615,PaCUDAHLGe,421502.7,2014,,PREPS
6,750712184.0,ASSISTANCE PUBLIQUE AP-HP,BOUSSADI,Abdelali,Adaptation des guides de bonnes pratiques cliniques de la prescription médicamenteuse chez les personnes âgées pour la conception de règles de décision clinique: Apport des Big Data (IM-AGE),14-0219,IM-AGE,196827.4,2014,,PREPS
7,750712184.0,ASSISTANCE PUBLIQUE AP-HP,BUFFEL DU VAURE,Céline,Mise en œuvre des recommandations par les médecins généralistes dans la prise en charge des patients multimorbides,14-0586,ARecoM,129955.0,2014,,PREPS
8,750712184.0,ASSISTANCE PUBLIQUE AP-HP,CAREL,Jean-Claude,Influence de la précarité sur l'efficience de la prise en charge hospitalière en pédiatrie,14-0530,PRECAPED,80478.0,2014,,PREPS
9,760033381.0,MSP du Pays Neufchatelois,CARTIER,Thomas ,L’impact de l’exercice regroupé pluriprofessionnel en soins primaires sur la satisfaction des usagers ,14-0555,PSPC,281560.0,2014,,PREPS
10,750712184.0,ASSISTANCE PUBLIQUE AP-HP,CHEVREUL,Karine ,Parcours de prise en charge ville-hopital pour soins de santé mentale,14-0028,PAPRICA,91470.0,2014,,PREPS
11,750000549.0,FONDATION OPHTALMOLOGIQUE ROTHSCHILD,COCHEREAU,Isabelle ,Evaluation de la faisabilité de déléguer la surveillance du glaucome aux orthoptistes en milieu hospitalier ,14-0378,SUIVI-GLAUCOME,175350.0,2014,,PREPS
12,690781810.0,HOSPICES CIVILS DE LYON,COMTE,Brigitte ,Mise en place d’une filière de régulation gériatrique au centre 15 du SAMU,14-0342,REGESA,308240.0,2014,,PREPS
13,330781196.0,CHU HOPITAUX DE BORDEAUX,DENOST,Quentin,Comparaison des modalités de prise en charge des cancers du rectum localement avancés et des récidives pelviennes des cancers du rectum: Benchmarking entre la France et l’Australie pour une meilleure définition des indications opératoires et des circuits de prise en charge.,14-0070,PELVICARE,226853.7,2014,,PREPS
14,950110080.0,CENTRE HOSPITALIER RENE DUBOS,DEVALOIS,Bernard,Télétransmission des données des Pompes à morphine (PCA) chez des patients cancéreux douloureux à domicile,14-0246,TELETRANS-PCA,432892.4,2014,,PREPS
15,750712184.0,ASSISTANCE PUBLIQUE AP-HP,DURAND,François ,"Parcours centralisé ou télé-expertise pour les maladies rares de l’appareil digestif, du foie et du pancréas: un essai randomisé prenant en compte les préférences des patients",14-0172,TeleUNITY,297609.4,2014,,PREPS
16,750712184.0,ASSISTANCE PUBLIQUE AP-HP,FARGES,Olivier,"Étude nationale Transversale du Retentissement psychologique associé à la pratique d’une activité interventionnelle: Évaluation mixte, qualitative et quantitative, du burnout auprès de chirurgiens digestifs, de gastroentérologues et de radiologues",14-0591,ETRE,277129.1,2014,,PREPS
17,750712184.0,ASSISTANCE PUBLIQUE AP-HP,FERRAT,Emilie,Comparaison de l'Efficacité d'une évaluation gériatrique en soins Primaires réalisée par une Infirmière ou un médecin générAliste : un essai pragmatique contrôlé randomisé en 3 bras (étude CEPIA),14-0370,CEPIA,405798.60000000003,2014,,PREPS
18,690780101.0,CH LE VINATIER,GEOFFRAY,Marie-Maude ,Impact du modèle d’intervention précoce de Denver (ESDM – Early Start Denver Model) sur le développement des enfants avec un trouble du spectre autistique. ,14-0533,DENVER ,449922.8,2014,,PREPS
19,800000044.0,CHU AMIENS,GIGNON,Maxime,Impact d'une intervention complexe interprofessionnelle sur l'identification précoce et l'approche proactive des situations de fin de vie dans le contexte des soins primaires.ETUDE SCoP3 (Soins primaires Coordonnés Proactifs Planifiés Pluridisciplinaires),14-0623,SCoP3,385748.2,2014,,PREPS
20,330781196.0,CHU HOPITAUX DE BORDEAUX,GRELLET,Jean,Evaluation de l'impact d'une formation associée à des outils de prévention des erreurs médicamenteuses liées à l'administration dans les Réanimations Néonatales,14-0578,OREANE,446785.3,2014,,PREPS
21,60785011.0,CHU DE NICE,GUERIN,Olivier ,Impact de l’utilisation d’une fiche de conciliation thérapeutique médicamenteuse en sortie d’hospitalisation sur le recours en urgence aux services de soin chez les patients de plus de 75 ans,14-0423,IATROMED,220097.7,2014,,PREPS
22,130786049.0,APHM,HONORE,Stéphane,Impact du suivi pharmaceutique hospitalier sur la satisfaction vis-à-vis du traitement médicamenteux des patients traités par des thérapies anticancéreuses orales,14-0353,SuiviPharmaOnco,286576.0,2014,,PREPS
23,300780038.0,CHU NIMES,KINOWSKI,Jean-Marie,Impact de la révision des prescriptions médicamenteuses sur la sécurité et le coût de la prise en charge médicamenteuse de patients âgés (au moins 65 ans) hospitalisés en centre hospitalier universitaire.,14-0208,MEDREV,293438.0,2014,,PREPS
24,740781133.0,CH REGION ANNECIENNE,LABARERE,José,"Caractéristiques initiales, processus, filières, et résultats associés à la qualité et la sécurité du parcours de soins des patients avec un syndrome coronarien aigu avec sus-décalage du segment ST.",14-0040,STEMI-QUAL,317171.0,2014,,PREPS
25,440000289.0,CHU DE NANTES,LE FORT,Marc,Etude QUALItative d’une organisation PRéventive des Escarres PelvienneS du Blessé Médullaire : construction d’un cadre conceptuel à partir des perceptions et comportements des patients et professionnels impliqués.,14-0250,QaliPREPS-BM,56711.4,2014,,PREPS
26,940000664.0,INSTITUT GUSTAVE ROUSSY,LEMARE,François,Développement d’un outil d’évaluation de la iatrogénie médicamenteuse spécifique à la population de patients traités pour un cancer : Oncology-focused Trigger Tool,14-0618,IATRIGGER,142900.0,2014,,PREPS
27,750712184.0,ASSISTANCE PUBLIQUE AP-HP,LUCET,Jean-Christophe,Prévention du Risque infectieux de l’Echographie Endo Vaginale (PREEV) : Evaluation et Modélisation à partir du Papillomavirus humain (HPV),14-0280,PREEV,522715.8,2014,,PREPS
28,330781196.0,CHU HOPITAUX DE BORDEAUX,MOORE,Nicholas,Génération d'alertes en bases de données avec la méthode du Cas-Population,14-0635,ALCAPONE,363538.0,2014,,PREPS
29,440000289.0,CHU DE NANTES,MORET,Leila,Impact d’un dispositif multifacette pour l’analyse et la gestion des événements indésirables associés aux soins sur la culture de sécurité en EHPAD,14-0314,EHPAGE,447648.3,2014,,PREPS
30,690781810.0,HOSPICES CIVILS DE LYON,MOUCHOUX,Christelle ,Evaluation de l'impact d’un suivi PHARMaceutique intégré à un accompagnement psychosocial sur le fardeau des AIDants naturels de patients âgés atteints de maladie d’Alzheimer et maladies apparentées,14-0568,PHARMAID,368448.9,2014,,PREPS
31,690781810.0,HOSPICES CIVILS DE LYON,OCCELLI,Pauline,La perception de la sécurité des soins par les patients hospitalisés : mesure de la perception des patients et lien avec la mise en œuvre d’actions de sécurisation des soins dans les services de chirurgie,14-0389,PERSEPOLIS,334830.0,2014,,PREPS
32,380780080.0,CHU GRENOBLE,PAVESE,Patricia,Elaboration et validation d’un chemin clinique pour la prise en charge médico-chirurgicale des infections sur prothèses de hanche,14-0467,OSCAR-PH ,157632.6,2014,,PREPS
33,130786049.0,APHM,PISANI,Pascale,Impact d’une optimisation de la conciliation des traitements médicamenteux sur la ré-hospitalisation évitable,14-0330,ConcReHosp,174906.5,2014,,PREPS
34,540002078.0,CHU DE NANCY,RAT,Anne-Christine,"Développement d’une classification des éléments composant un programme d’ETP, pouvant en influencer le résultat et la pérennité Etude CONCErTo (ClassificatiON des Composantes des programmes d’Education Thérapeutique)",14-0089,CONCErTo,132730.7,2014,,PREPS
35,690781810.0,HOSPICES CIVILS DE LYON,RIOUFOL,Catherine,"Impact du programme oncologique pluridisciplinaire PRISM care, versus prise en charge habituelle, sur la PRIse Sécurisée Médicamenteuse des patients atteints de CAncer du Rein, par l’autogestion des effets indésirables liés aux thérapies ciblées orales, la maîtrise des interactions médicamenteuses, et le partage de l’information dans le dispositif ville/hôpital ",14-0546 ,PRISMcare,450432.4,2014,,PREPS
36,310781406.0,CHU DE TOULOUSE,ROLLAND,Yves,Facteurs Prédisposant au Transfert Inapproprié aux Départements des Urgences des Résidents d’Etablissement d’Hébergement pour Personnes Âgées Dépendantes (EHPAD) ,14-0185,FINE,494760.0,2014,,PREPS
37,590780193.0,CHRU LILLE,ROLLAND,Benjamin,Sevrage Ambulatoire à l'Alcool: évaluation d'un dispositif de pratiques infirmières avancées par comparaison avec une prise en charge de référence en médecine générale,14-0209,SAMBA,595671.6,2014,,PREPS
38,690781810.0,HOSPICES CIVILS DE LYON,RUDIGOZ,René,Programme de Recherche sur l’Optimisation du Suivi des Patientes à Risque en Obstétrique,14-0454 ,PROSPERO,481545.0,2014,,PREPS
0,940000664.0,CLCC INSTITUT GUSTAVE ROUSSY,BAYLE,Arnaud,"Étude randomisée évaluant l’impact d’un parcours innovant et coopératif intégrant un suivi onco-gériatrique, pharmacien et pharmacologique chez des patients âgés (>70 ans) présentant un cancer et traités par thérapie orale.",PREPS-20-0290,POG,694706.0,2020,,PREPS
1,380780080.0,CHU GRENOBLE,BOUSSAT,Bastien,Feedback d’indicateur automatisé pour l’amélioration de la qualité de la lettre de liaison à la sortie : essai contrôlé randomisé en clusters.,PREPS-20-0195,FIAQLS,198739.0,2020,,PREPS
2,130786049.0,APHM,BOYER,Laurent,Impact d’un feedback PREMs/PROMs sur la prise en charge des patients souffrant de pathologies mentales sévères (troubles bipolaires et dépression),PREPS-20-0193,Feedback,758152.0,2020,,PREPS
3,760780239.0,CHU ROUEN,CHENAILLER,Catherine,"Impact d’un Plan Pharmaceutique Personnalisé sur la durée de traitement par opioïdes forts dans des douleurs non cancéreuses de l’appareil locomoteur. Etude multicentrique, randomisée, contrôlée",PREPS-20-0255,PPPCARE,230979.0,2020,,PREPS
4,130786049.0,APHM,COUDERC,Anne-Laure,Déploiement d’une Télé-consultation en Oncogériatrie pour les patients âgés de 75 ans et plus allant bénéficier d’un traitement oncologique et habitant une zone non ou peu pourvue d’évaluation oncogériatrique à proximité du centre oncologique de référence,PREPS-20-0182,TeleOncoGe,478768.0,2020,,PREPS
5,130786049.0,APHM,DA FONSECA,David,Programme d'Accès aux Soins Somatiques pour les personnes avec Autisme (PASS'Autisme),PREPS-20-0172,PASS'Autisme,596174.0,2020,,PREPS
6,750712184.0,ASSISTANCE PUBLIQUE AP-HP,DARMON,Michael,Intérêt d’un suivi néphrologique précoce et prolongé au cours des insuffisances rénales aiguës en réanimation,PREPS-20-0299,aLTERNATIve,609852.0,2020,,PREPS
7,380780080.0,CHU GRENOBLE,DEBATY,Guillaume,Efficacité d’un programme de formation à la communication pour améliorer le traitement des appels pour suspicion d’arrêt cardiaque aux SAMU-centre 15. Essai contrôlé randomisé multicentrique d’implémentation en stepped-wedge.,PREPS-20-0307,COM-ARM,537021.0,2020,,PREPS
8,940110018.0,CENTRE HOSPITALIER INTERCOMMUNAL DE CRETEIL,DELMAS,Catherine,Essai pragmatique randomisé en stepped-wedge de l’efficacité d’un repérage précoce en PMI et d’un adressage coordonné sur la prise en charge avant 1 an des nourrissons à haut risque de troubles du spectre autistique et neuro-développementaux,PREPS-20-0186,PRECO-TSA,835810.0,2020,,PREPS
9,690780101.0,CH LE VINATIER,DUBREUCQ,Julien,Implémentation d’un programme de formation à l’orientation des soins vers le rétablissement (REFOCUS) dans les services de santé mentale ,PREPS-20-0220,RETAFORM,497125.0,2020,,PREPS
10,750712184.0,ASSISTANCE PUBLIQUE AP-HP,EDEL,Yves,Interventions précoces en addictologie dans le cadre des urgences par intoxications aiguës aux stupéfiants,PREPS-20-0314,IPAIS,837528.0,2020,,PREPS
11,750712184.0,ASSISTANCE PUBLIQUE AP-HP,FLETCHER,Dominique,Morbi-mortalité en chirurgie et transmission standardisée au bloc opératoire,PREPS-20-0286,HIATUS,444959.0,2020,,PREPS
12,750000523.0,GROUPE HOSPITALIER PARIS SAINT-JOSEPH,GOUËFFIC,Yann,Chirurgie ambulatoire chez les patients isolés pour le traitement endovasculaire de l'artériopathie oblitérante des membres inférieurs.,PREPS-20-0205,ABALONE,1194960.0,2020,,PREPS
13,750150252.0,CLINIQUE MEDICALE EDOUARD RIST,HUAS,Caroline,"MG-INTEGR-ADO  Efficacité de la promotion du rôle des médecins généralistes dans un dispositif de soins intégrés en santé mentale à l’adolescence, selon la définition de l'Organisation Mondiale de la Santé",PREPS-20-0198,MG-Integr-ADO,121851.0,2020,,PREPS
14,440000289.0,CHU DE NANTES,HUON,Jean-François,Efficacité d’une intervention conjointe médecin généraliste – pharmacien d’officine sur la déprescription de benzodiazépines chez la personne âgée : un essai randomisé pragmatique en cluster en soins de premier recours,PREPS-20-0327,BESTOPH-MG,567711.0,2020,,PREPS
15,420784878.0,CHU SAINT-ETIENNE,HUPIN,David,Impact d’une intervention d’activité physique comportant un suivi de la motivation par les pairs pour des patients atteints d’un cancer de la prostate. L'étude Acti-Pair 2 ,PREPS-20-0296,ACTI-PAIR 2,706791.0,2020,,PREPS
16,540000056.0,CENTRE PSYCHOTHERAPIQUE NANCY,LIGIER,Fabienne,EMPER : création et évaluation d’une équipe mobile d’intervention en psychiatrie périnatale (0-3ans) en Meurthe-et-Moselle Sud,PREPS-20-0185,EMPER,394186.0,2020,,PREPS
