,Finess,Nom de l'établissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
24,750712184,ASSISTANCE PUBLIQUE AP-HP,DUVAL,Xavier,Imagerie par TEP au 18FDG à la phase aiguë de l’endocardite infectieuse (TEPvENDO) : Impact diagnostique et thérapeutique.,549,TEPvENDO,348954.3,2013,N,PHRC
25,940110018,CENTRE HOSPITALIER INTERCOMMUNAL DE CRETEIL,ESCABASSE,Virginie,Efficacité de l’Aérosolthérapie sonique nébulisée Vecteur d’Antibiotique (tobramycine) dans le traitement de la rhino-Sinusite chronique des patients atteints de MUCoviscidose (AVASMUC): un essai randomisé contrôlé en double aveugle,662,AVAS-MUC,370305.3,2013,N,PHRC
26,330781196,CHU HOPITAUX DE BORDEAUX,EZZEDINE,Khaled,"Etude multicentrique randomisée évaluant l’efficacité du Tacrolimus pommade 0,1 % versus placebo dans le vitiligo non-segmentaire du visage de l’adulte",88,ViTac,275037.7,2013,N,PHRC
27,750712184,ASSISTANCE PUBLIQUE AP-HP,FERAY,Cyrille,OPTIMIZING DONOR-RECIPIENT MATCHING TO IMPROVE SURVIVAL AFTER REGISTRATION ON THE WAITING LIST FOR LIVER TRANSPLANTATION: the OPTIMATCH LT study,639,OPTIMATCH-LT,277864.24,2013,N,PHRC
28,750712184,ASSISTANCE PUBLIQUE AP-HP,FILA,Marc,Intérêt de l’azythromycine dans le traitement des syndromes hémolytiques et urémiques post diarrhée,540,ZITHROSHU,391322.05,2013,N,PHRC
29,870000015,CHU DE LIMOGES,FRANÇOIS ,Bruno,Prévention des pneumopathies acquises sous ventilation mécanique (PAVM) précoce par antibioprothérapie et chez les patients sous hypothermie après arrêt cardiaque. Essai thérapeutique randomisé en double aveugle.,81,ANTHARTIC,534504.164,2013,N,PHRC
30,690781810,HOSPICES CIVILS DE LYON,FRIGGERI,Arnaud,Administration de Granulocyte–Macrophage Colony-stimulating Factor (GmCsf) pour diminuer les infections acquises en reanimation au cours de l’immunodépression induite par le sepsis Etude multicentrique randomisée en double aveugle contre placebo,583,GRID,865205.46,2013,N,PHRC
31,310781406,CHU DE TOULOUSE,GAME,Xavier,Evaluation du traitement par stimulation du nerf tibial postérieur par neurostimulation électrique transcutanée (TENS) des troubles vésico-sphinctériens (TVS) secondaires à un syndrome parkinsonien,147,UROPARKTENS,493933.68,2013,N,PHRC
32,250000015,CHU BESANCON,GARNACHE OTTOU,Francine,Etude de la vésiculation cellulaire dans les concentrés globulaires- quantification des microparticules d'origine érythrocytaire et potentiel impact sur la mortalité à 90 jours des patients de services de réanimation transfusés- Etude ancillaire à l'étude ABLE (Age of Blood Evaluation),328,IMIB,182830.5,2013,N,PHRC
33,310781406,CHU DE TOULOUSE,GARNIER,Arnaud,Traitement précoce par l'anticorps monoclonal anti C5 eculizumab de patients pédiatriques atteints d'un syndrome hémolytique et urémique à Escherichia Coli sécréteurs de Shiga-toxine: essai clinique de phase III prospectif contrôlé randomisé contre placebo,60,ECULISHU,1478261.96,2013,N,PHRC
34,750712184,ASSISTANCE PUBLIQUE AP-HP,GHASAROSSIAN,Christian,Efficacité et tolérance d’une corticothérapie orale pour la prise en charge des exacerbations aiguës de BPCO en médecine générale,195,BECOMEG,525499.96,2013,N,PHRC
35,440000289,CHU DE NANTES,GIRAL,Magali,"Etude prospective randomisée, ouverte, en groupes parallèles visant à évaluer le bénéfice/risque d’un traitement d’induction par Anti-thymocyte Globulins (ATG) par rapport à une induction par Basiliximab chez les patients transplantés rénaux qui présentent un faible risque immunologique mais un fort risque de retard au démarrage du greffon.",523,PREDICT-DGF,394007.54000000004,2013,N,PHRC
36,750712184,ASSISTANCE PUBLIQUE AP-HP,GOSSEC,Laure,Impact de l’arrêt du tabac sur l’activité de la polyarthrite rhumatoïde chez les fumeurs,581,ESCADA,309296.36,2013,N,PHRC
37,210780581,CHU DIJON,GOUYON,Jean-Bernard,"Suivi à 5 ans d’une étude multicentrique, randomisée de non infériorité de deux stratégies thérapeutiques chez des enfants atteints de toxoplasmose congénitale",411,TOSCANE-S,433032.76,2013,N,PHRC
38,690781810,HOSPICES CIVILS DE LYON,GROSGOGEAT,Brigitte,Etude clinique randomisée multicentrique comparant l'éviction partielle en un temps à l’éviction complète lors du traitement des lésions carieuses profondes des dents permanentes.,347,DECAT,776983.84,2013,N,PHRC
39,350005179,CHU DE RENNES,GUGGENBUHL,Pascal,Traitement du rhumatisme hémochromatosique réfractaire par Anakinra: une étude préliminaire de phase II.,364,THERA,212793.99999999997,2013,N,PHRC
40,750712184,ASSISTANCE PUBLIQUE AP-HP,HADJ-RABIA,Smail,Traitement par Masitinib mesylate (AB1010) des neurofibromes plexiformes internes inopérables chez l'enfant atteint de neurofibromatose de type 1,456,PLEXINF1C,235700.74,2013,N,PHRC
41,750712184,ASSISTANCE PUBLIQUE AP-HP,HANON,Olivier,Protéine tau plasmatique et biomarqueurs de la dégradation de l’APP (Amyloid precursor protein) pour le diagnostic et le pronostic de la maladie d’Alzheimer. Etude ancillaire à l’étude BALTAZAR (Biomarker of AmyLoïd pepTide and AlZheimer’s diseAse Risk).,404,BALTAZAR-PlaTau,273978.27999999997,2013,N,PHRC
42,750712184,ASSISTANCE PUBLIQUE AP-HP,KONE-PAUT,Isabelle,Une étude de phase IIa pour étudier l’efficacité et la sécurité de l’anakinra chez les patients atteints de maladie de Kawasaki résistante aux immunoglobulines intraveineuses,520,KAWAKINRA,254995.08,2013,N,PHRC
43,750140014,CENTRE HOSPITALIER SAINTE-ANNE,KREBS,Marie-Odile,STress chez les sujets jeunes présentant un état mental A Risque : efficacité des Thérapies comportementales et cognitives,681,STAR-T,568047.56,2013,N,PHRC
44,310781406,CHU DE TOULOUSE,LAPEYRE-MESTRE,Maryse,Impact d’une évaluation des consommations de substances au cabinet médical pour la prise en charge des patients initiant un traitement par buprénorphine en médecine générale. Essai clinique randomisé en cluster.,450,ESUB-MG,601696.0,2013,N,PHRC
45,750712184,ASSISTANCE PUBLIQUE AP-HP,LAUNAY,Odile,Recherche de l’excrétion du virus vaccinal de la rougeole dans le lait de femmes vaccinées en postpartum par un vaccin trivalent Rougeole-Rubéole-Oreillons(RRO),62,BREMEAVAC,277029.4,2013,N,PHRC
46,750712184,ASSISTANCE PUBLIQUE AP-HP,LEDEE,Nathalie,"Etude prospective, randomisée à deux bras évaluant l’intérêt du bilan immunitaire utérin pré-conceptionnel afin d' augmenter les taux de naissances grâce à une personnalisation du soin en assistance médicale à la procréation prenant en compte la réceptivité utérine",39,PRECONCEPTIO,288905.1,2013,N,PHRC
47,760780239,CHU ROUEN,LEROI,Anne-Marie,"Efficacité et tolérance des injections intra-rectales de toxine botulique type A pour le traitement de l'incontinence fécale : étude randomisée, contrôlée en double aveugle",103,IFTOXINE,449038.7,2013,N,PHRC
48,750712184,ASSISTANCE PUBLIQUE AP-HP,LESPRIT,Philippe,Désescalade des carbapénèmes: étude multicentrique contrôlée randomisée comparant maintien des carbapénèmes et relais par une autre béta-lactamine dans le traitement des infections à Entérobactéries productrices de béta-lactamases à spectre élargi.,63,Carbepargne,612972.748,2013,N,PHRC
49,750712184,ASSISTANCE PUBLIQUE AP-HP,LU,Qin,"Comparaison de l’efficacité de la Colimycine par nébulisation et par voie intraveineuse au cours des pneumonies à bacilles gram négatif multi-résistantes acquises sous ventilation mécanique : Etude prospective, multicentrique, randomisée en double aveugle",274,COLIVAP,411947.4,2013,N,PHRC
50,590780193,CHRU LILLE,LUCOT,Jean-Philippe,Etude randomisée comparant la promontofixation coelioscopique à la chirurgie prothétique par voie vaginale pour le traitement des cystocèles chez la femme : Suivi fonctionnel et anatomique à 4 ans.,276,PROSPERE-4,205315.0,2013,N,PHRC
51,760780239,CHU ROUEN,LVOVSCHI,Virginie,Evaluation de la titration morphinique par nébulisation dans les douleurs aigues sévères aux urgences,13-0635,CLIN-AEROMORPH,523519.5683333333,2013,N,PHRC
52,590780193,CHRU LILLE,MAITRE,Elsa,Efficacité d'un joint crisis plan dans la prévention des rechutes des patients atteints de schizophrénie et de troubles schizoaffectifs,342,SOS,453561.6,2013,N,PHRC
53,590780193,CHRU LILLE,MATHURIN,Philippe,Evaluation de l’efficacité de l’antibiothérapie en association à la corticothérapie dans l’hépatite alcoolique sévère. Essai contrôlé randomisé en double aveugle.,552,ANTIBIOCOR-HAA,499000.28,2013,N,PHRC
54,540002078,CHU DE NANCY,MAY,Thierry,Essai de non-infériorité de la céfoxitine versus ertapénème dans le traitement des infections urinaires à Escherichia coli producteurs de BLSE.,522,COLIFOX,590354.5800000001,2013,N,PHRC
55,250000015,CHU BESANCON,MENEVEAU,Nicolas,La Tomographie par Cohérence Optique améliore-t-elle le résultat de la mise en place d’une prothèse endocoronaire?,138,DOCTORS,340538.1,2013,N,PHRC
56,250000015,CHU BESANCON,MILLION,Laurence,Evaluation prospective d’un nouvel outil moléculaire pour le diagnostic précoce des mucormycoses,397,MODI-MUCOR,356471.80000000005,2013,N,PHRC
57,860780980,CHU DE POITIERS,MIMOZ,Olivier,"Impact de l’ajout d’un dispositif de régulation pneumatique continue de la pression du ballonnet à une stratégie globale de prévention des pneumonies acquises sous ventilation mécanique chez le traumatisé grave. Etude multicentrique, randomisée contrôlée.",54,AGATE,469915.45999999996,2013,N,PHRC
58,750712184,ASSISTANCE PUBLIQUE AP-HP,MOCHEL,Fanny,Etude de phase IIa dans la maladie de Huntington visant à évaluer le potentiel thérapeutique du resvératrol,678,REV-HD,517807.44,2013,N,PHRC
59,290000017,CHRU DE BREST,MOTTIER,Dominique,Prévention de la maladie veineuse thromboembolique symptomatique par héparine de bas poids moléculaire chez les patients médicaux hospitalisés de 75 ans et plus (essai randomisé contrôlé versus placebo),283,SYMPTOMS,1631223.32,2013,N,PHRC
60,750712184,ASSISTANCE PUBLIQUE AP-HP,NABBOUT,Rima,"Essai randomisé contrôlé comparant sulthiam, oxcarbazepine et placebo dans l’EPR (Epilepsie à paroxysmes rolandiques)",280,EPR-SOP,629085.8,2013,N,PHRC
61,350005179,CHU DE RENNES,OGER,Emmanuel,Suppression androgénique et risque cardiovasculaire,257,ADTCR,79783.94,2013,N,PHRC
62,380780080,CHU GRENOBLE,PAYEN,Jean-François,Impact de l’optimisation précoce de l’oxygénation cérébrale sur le volume des lésions cérébrales après traumatisme crânien grave,119,OXY-TC,781566.2,2013,N,PHRC
63,870000015,CHU DE LIMOGES,PICHON,Nicolas,Evaluation des greffons hépatiques à l’aide du FibroScan® chez les sujets en état de mort encéphalique avant prélèvement d’organes.,160,FIBROSCAME,676725.79,2013,N,PHRC
64,750712184,ASSISTANCE PUBLIQUE AP-HP,POUJOL-ROBERT,Armelle,Impact de l’anticoagulation à dose préventive par héparine de bas poids moléculaire sur la morbimortalité chez les patients cirrhotiques Child B : Essai randomisé multicentrique,616,CHILBENOX,703408.1799999999,2013,N,PHRC
65,750712184,ASSISTANCE PUBLIQUE AP-HP,POURCHER,Guillaume,"Evaluation d'une technique de chirurgie bariatrique minimale invasive utilisant un trocart unique coelioscopique (une seule incision de 2,5 à 3 cm) au lieu de 4 à 7 trocarts dans la gastrectomie longitudinale ou sleeve gastrectomie.",13-0650,MINIOB,587236.62,2013,N,PHRC
66,290000017,CHRU DE BREST,REMY-NERIS,Olivier,Antalgie et kinésithérapie chez l’enfant avec paralysie cérébrale,424,ANTALKINEPC,171462.2,2013,N,PHRC
67,750712184,ASSISTANCE PUBLIQUE AP-HP,RENAUD,Bertrand,"Impact pronostic d'un algorithme décisionnel en 3 étapes basé sur des preuves chez des patients hospitalisés via le service d'urgence pour une pneumonie aiguë communautaire (PAC-IMPREVU): un essai randomisé, contrôlé en grappes. Essai PAC-IMPREVU",443,PAC-IMPREVU,476237.02,2013,N,PHRC
68,130786049,APHM,REYNAUD-GAUBERT,Martine,"Etude randomisée, contrôlée évaluant l’intérêt du suivi de l’activité CALCIneurine dans la MOdulation de l’immunosuppresion par anticalcineurine en Transplantation Pulmonaire",577,CalciMo-TP,535121.8,2013,N,PHRC
69,690781810,HOSPICES CIVILS DE LYON,RHEIMS,Sylvain,Efficacité de la Naloxone sur les troubles respiratoires centraux compliquant les crises d’épilepsie,412,ENALEPSIE,422059.3,2013,N,PHRC
70,310781406,CHU DE TOULOUSE,RITZ,Patrick,Evaluation du bénéfice d’une perte de poids intense (obtenue par technique chirurgicale) sur les capacités fonctionnelles de personnes âgées obèses de plus de 60 ans bénéficiant d’un entraînement physique. Comparaison à une perte de poids modeste obtenue par restriction calorique.,203,ELDSURG,725729.76,2013,N,PHRC
71,690781810,HOSPICES CIVILS DE LYON,ROBERT,Maud,"Etude prospective, multicentrique, randomisée, contrôlée de l’efficacité et de la sécurité du bypass gastrique laparoscopique en Oméga versus le bypass gastrique avec anse en Y.",37,YOMEGA,326328.94,2013,N,PHRC
72,860780980,CHU DE POITIERS,ROBERT,René,ARREt progressif de la VEntilation mécanique ou extubation chez les patients de réanimation en fin de vie : épidémiologie et ressenti des proches et des soignants.,142,ARREVE,66039.1,2013,N,PHRC
73,750712184,ASSISTANCE PUBLIQUE AP-HP,ROZENBERG,Patrick,Evaluation de l’efficacité de la tamponnade intra-utérine par le ballonnet de Belfort-Dildy dans le traitement des hémorragies sévères du postpartum immédiat,267,TUB,352297.48,2013,N,PHRC
74,690781810,HOSPICES CIVILS DE LYON,RYVLIN,Philippe,Sevrage en médicaments Antiépileptiques et sécurité du monitoring Vidéo-EEG de longue durée.,536,SAVE,461037.83999999997,2013,N,PHRC
75,750140014,CENTRE HOSPITALIER SAINTE-ANNE,SARAZIN,Marie,Caractéristique de la sclérose hippocampique non Alzheimer avec amnésie progressive,28,HSA-nonAD,694285.8400000001,2013,N,PHRC
76,440000289,CHU DE NANTES,SEBILLE,Véronique,"Evaluation des bénéfices associés à une greffe rénale préemptive. Etude prospective observationnelle multicentrique et contrôlée de la qualité de vie, des processus d’adaptation psychologique et de l’évolution clinique de patients recevant une greffe préemptive par rapport à une population comparable de patients greffés après une période de dialyse inférieure à un an.",224,PreKiTQoL,199740.22,2013,N,PHRC
77,490000031,CHU D'ANGERS,SENTILHES,Loïc,Acide tranéxamique pour la prévention de l’hémorragie du postpartum après un accouchement par les voies naturelles : une étude multicentrique randomisée en double aveugle contre placébo.,458,TRAAP,712720.8,2013,N,PHRC
78,750712184,ASSISTANCE PUBLIQUE AP-HP,TAILLE,Camille,Intérêt d’un traitement prolongé par aspirine dans l’asthme non contrôlé,96,ASTHMIRINE,632120.612,2013,N,PHRC
79,690781810,HOSPICES CIVILS DE LYON,THAUNAT,Olivier,Evaluation d’une stratégie d’optimisation de l’immunosuppression basée sur la biopsie de dépistage des 3 mois en transplantation rénale: étude I4BiS (Infiltrat Inflammatoire Intragreffon Infraclinique et Biopsie de dépiStage),679,I4BIS,706835.6,2013,N,PHRC
80,750712184,ASSISTANCE PUBLIQUE AP-HP,TRAN,Viet-Thi,"Développement d’un outil de mesure du fardeau du traitement chez des patients souffrant de plusieurs maladies chroniques, utilisable dans plusieurs pays et plusieurs langues",127,BOT,103478.9,2013,N,PHRC
81,750712184,ASSISTANCE PUBLIQUE AP-HP,TRUCHOT,Jennifer,"Evaluation de l’impact sur le taux de récidive à un mois, d’un protocole formalisé strict de suivi des patients asthmatiques sortis des Urgences pour crise aiguë",504,ASUR-R,542297.2,2013,N,PHRC
82,750712184,ASSISTANCE PUBLIQUE AP-HP,TUBACH,Florence,Bénéfice/risque en vie réelle des nouveaux anticoagulants et des antivitamine K dans le traitement de la fibrillation atriale non valvulaire chez les personnes âgées de 80 ans et plus suivies en ville et en EHPAD,472,PRESAGE-ACO,607730.88,2013,N,PHRC
83,310781406,CHU DE TOULOUSE,VAYSSIERE,Christophe,Le pessaire : une solution pour diminuer la prématurité des grossesses gémellaires ?,375,PESSARONE,467413.1,2013,N,PHRC
84,130786049,APHM,VITTON,Véronique,Evaluation de l'efficacité du courant interférentiel dans le traitement de la constipation chronique de l'adulte : essai multicentrique,9,CON-COUR,219474.0,2013,N,PHRC
85,440000289,CHU DE NANTES,WEBER,Michel,"Etude prospective randomisée multicentrique contrôlée en simple insu, évaluant le rapport bénéfice/risque du pelage de la membrane limitante interne (MLI) lors de la chirurgie des membranes épimaculaires (MEM)",170,PEELING,210486.24,2013,N,PHRC
0,750712184,ASSISTANCE PUBLIQUE AP-HP,ADAM,René,Chimiothérapie et Transplantation hépatique vs Chimiothérapie seule dans le traitement des métastases hépatiques de cancer colorectal (MCR) définitivement non résécables : étude prospective randomisée multicentrique,13-199,TRANSMET,756608.38,2013,K,PHRC
1,250000015,CHU BESANCON,ADOTEVI,Olivier,Vaccination thérapeutique anti-cancer innovante utilisant des peptides T helper 1 dérivés de la télomérase dans les cancers bronchiques non à petites cellules métastatiques : une étude de phase I/II ,13-063,UCPVAX,438292.45999999996,2013,K,PHRC
2,310781406,CHU DE TOULOUSE,ATTAL,Michel,Intérêt d’un conditionnement par Velcade-Melphalan vs Melphalan suivi d’une autogreffe de cellules souches chez les patients de moins de 66 ans atteints de Myélome Multiple en Première Ligne: Une Etude Randomisée de Phase III de l’IFM,13-176,,727947.38,2013,K,PHRC
3,940000664,INSTITUT GUSTAVE ROUSSY,AUPERIN,Anne,Méta-analyses sur données individuelles de l’ajout à la radiochimiothérapie concomitante d’une chimiothérapie ou d’une thérapie ciblée d’induction ou de consolidation dans le traitement des carcinomes broncho-pulmonaires non à petites cellules non opérables.,13-268 ,NSCLC-MA ,63860.0,2013,K,PHRC
4,750712184,ASSISTANCE PUBLIQUE AP-HP,BARRY DELONGCHAMPS,Nicolas,Imagerie en tomographie par cohérence optique plein champ des biopsies de la prostate pour le diagnostic du cancer de la prostate,13-142,BIOMAGIC 01 ,194082.26,2013,K,PHRC
5,210780581,CHU DIJON,BEDENNE,Laurent,Essai stratégique randomisé de phase II-III dans le cancer de l’œsophage opérable en cas de réponse complète clinique après radiochimiothérapie : chirurgie systématique vs chirurgie de recours en cas de récidive locorégionale isolée opérable,13-087,ESOSTRATE 01,524992.04,2013,K,PHRC
6,750712184,ASSISTANCE PUBLIQUE AP-HP,BENAMOUZIG,Robert,"Evaluation de l’effet d’une chimioprévention quotidienne par aspirine à faible dose ou par curcumine 
sur la récurrence des adénomes chez des patients atteints de syndrome de Lynch
",13-117,ACACC-LS ,813504.34,2013,K,PHRC
7,750050932,GCS UNICANCER,BOSSI,Alberto,"Etude prospective de phase III, randomisée, d’évaluation de l’association d’un traitement hormonal avec ou sans radiothérapie avec ou sans abiratérone et prednisone chez les patients présentant un cancer de prostate métastatique hormono-naïf.",13-050 ,,309470.0,2013,K,PHRC
8,750050932,GCS UNICANCER,BRUGIERES,Laurence,"Etude Intergroupe (SFCE/GSF-GETO) OS2006 Zolédronate-Ostéosarcome Protocole de traitement des ostéosarcomes de l’enfant, de l’adolescent et de l’adulte comprenant : un essai randomisé et des études biologiques",13-041,,649822.0,2013,K,PHRC
9,310781406,CHU DE TOULOUSE,BUSCAIL,Louis,ESSAI DE PHASE 2 DE THERAPIE GENIQUE DE L’ADENOCARCINOME PANCREATIQUE LOCALEMENT AVANCE PAR INJECTION INTRATUMORALE DE CYL-02 ASSOCIEE A LA GEMCITABINE ,13-062,THERGAP-02,671369.24,2013,K,PHRC
10,690781810,HOSPICES CIVILS DE LYON,CHAPET,Olivier ,Radiothérapie hypofractionnée (62.0 Gy en 20 fractions) versus radiothérapie stéréotaxique (37.5 Gy en 5 fractions) avec injection d’acide hyaluronique entre la prostate et le rectum dans les cancers de la prostate de risque faible à intermédiaire : étude de phase II randomisée,13-132,HRPC01,392963.1,2013,K,PHRC
11,690781810,HOSPICES CIVILS DE LYON,COTTE,Eddy,Impact de la résection de la tumeur primitive sur la survie des patients présentant un cancer du rectum avec métastases synchrones non résécables : étude randomisée multicentrique,13-069,GRECCAR 08 ,305504.0,2013,K,PHRC
12,750050932,GCS UNICANCER,CULINE,Stéphane,Traitement personnalisé du cancer de la prostate métastatique résistant à la castration en fonction de la numération des cellules tumorales circulantes chez les patients traités par docétaxel : passage précoce à une chimiothérapie de deuxième ligne ou combinaison thérapeutique avec le radium-223.,13-052,GETUG-AFU 25/PEACE 3 ,1200602.0,2013,K,PHRC
13,750712184,ASSISTANCE PUBLIQUE AP-HP,DALLE,Jean-Hugues ,Evaluation de la place de l’irradiation corporelle totale dans le conditionnement pré-greffe des patients d’âge pédiatrique (≥4 ans)  transplantés pour leucémie aiguë lymphoblastique de mauvais pronostic à partir d’un donneur compatible apparenté ou non apparenté.,13-006,FORUM01,300074.4,2013,K,PHRC
14,750712184,ASSISTANCE PUBLIQUE AP-HP,DEBOURDEAU,Philippe,"Etude de phase III multi-centrique randomisée en double aveugle testant l’efficacité et la tolérance d’un inhibiteur de P2Y12 (clopidogrel) dans le traitement du cancer du pancréas.
",13-198,PANCREADOGREL,366153.0,2013,K,PHRC
15,750712184,ASSISTANCE PUBLIQUE AP-HP,DELATTRE,Jean-Yves ,PCV seul versus Radiothérapie et PCV adjuvant dans le traitement initial des gliomes anaplasiques avec codélétion 1p/19q,13-137,POLCA ,410873.0,2013,K,PHRC
16,750712184,ASSISTANCE PUBLIQUE AP-HP,DOMBRET,Hervé,"Complément de financement pour le « Protocole Multicentrique de 
Traitement des Leucémies Aiguës Lymphoblastiques (LAL) de novo de l’Adulte Jeune (15-59 ans)».
",13-261 ,GRAALL 2005 ,300960.0,2013,K,PHRC
17,630000479,CENTRE REGIONAL JEAN PERRIN,DURANDO,Xavier,Impact sur la qualité de vie d’une supplémentation en mélatonine chez le patient âgé ( >70 ans) métastatique,13-170,MEQAPAG,547994.44,2013,K,PHRC
