,Finess,Nomdelétablissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
21,750712184,ASSISTANCE PUBLIQUE AP-HP,CAMUS,Thibault,Essai randomisé en double insu évaluant l’efficacité d’une infiltration cicatricielle continue d’un anesthésique local sur les évènements indésirables liés à la morphine au décours d’une chirurgie de résection hépatique,46,,47000.0,2012,I,PHRC
22,750712184,ASSISTANCE PUBLIQUE AP-HP,CARBAJAL,Ricardo,Epidémiologie des gestes douloureux ou stressants chez les nouveau-nés pris en charge dans les unités de réanimation néonatale et pédiatrique de la région d'Ile de France (Epippain 2)    ,136,Epippain 2,145000.0,2012,I,PHRC
23,750712184,ASSISTANCE PUBLIQUE AP-HP,CARIOU,Alain,Pronostic à long terme des arrêts cardiaques extra hospitaliers en Ile de France  ,79,,196000.0,2012,I,PHRC
24,750712184,ASSISTANCE PUBLIQUE AP-HP,CHALUMEAU,Martin,Construction et validation interne d’un nouvel outil informatisé de calcul séquentiel de risque individuel pour le diagnostic des angines à Streptocoque ß-hémolytique du groupe A chez l’enfant    ,95,,33000.0,2012,I,PHRC
25,130786049,APHM,CHANEZ ,Pascal,Effet du Tabac sur les mécanismes d'hypersécrétion de mucus dans l'asthme et la BPCO,250,,137000.0,2012,I,PHRC
26,750712184,ASSISTANCE PUBLIQUE AP-HP,CHANSON,Philippe,Evaluation par résonance magnétique nucléaire de la stéatose cardiaque dans l’hypercorticisme : comparaison avec les sujets témoins. Etude : CORTICOEUR   ,55,CORTICOEUR,113000.0,2012,I,PHRC
27,750712184,ASSISTANCE PUBLIQUE AP-HP,CHEVRET,Sylvie,Modélisation bayesienne de l'efficacité des dispositifs médicaux implantables ,70,,75000.0,2012,I,PHRC
28,380780080,CHU GRENOBLE,CHIQUET,Christophe,Evaluation des effets du bosentan dans la prise en charge des patients à la phase aiguë de la neuropathie optique ischémique antérieure aiguë.                                                                                                                 ,10,,170000.0,2012,I,PHRC
29,800000044,CHU AMIENS,CHOUKROUN,Gabriel,"Incidence et facteurs de risque associés aux complications néoplasiques après Transplantation Rénale dans les Régions Nord – Pas de Calais, Normandie et Picardie",297,,131000.0,2012,I,PHRC
30,690781810,HOSPICES CIVILS DE LYON,COTTIN,Vincent,Génétique du Syndrome d’Emphysème et Fibrose pulmonaires combinés (Etude Génes-SEF)                                                                                                                                                                             ,12,Génes-SEF,137000.0,2012,I,PHRC
31,290000017,CHRU DE BREST,COUTURAUD,Francis,Efficacité de la Varénicline dans le Sevrage tabagique dès la phase Aiguë d’une Exacerbation de broncho-pneumopathie chronique obstructive: un essai randomisé multicentrique en double aveugle - Essai « SAVE»,198,SAVE,110496.0,2012,I,PHRC
32,300780038,CHU NIMES,CYPRIEN    ,Fabienne,Prévalence comparative des manifestations psychiatriques dans le syndrome des anticorps antiphospholipides obstétrical pur: étude MENT-APL-O,288,MENT-APL-O,181000.0,2012,I,PHRC
33,250000015,CHU BESANCON,DALPHIN     ,Jean-Charles ,PATURE IV : Protection contre l'Allergie : éTUde du milieu Rural et de son Environnement : volet IV - Evaluation de l’effet protecteur des produits laitiers vis-à-vis de l’asthme et de l’allergie                                                                                                            ,175,PATURE IV,189410.0,2012,I,PHRC
34,340780477,CHU MONTPELLIER,DAUVILLIERS,Yves,"Fragmentation du sommeil dans le Syndrome des Jambes sans Repos : 
Quelles conséquences sur les fonctions exécutives?
",269,,171000.0,2012,I,PHRC
35,860780980,CHU DE POITIERS,DELAUBIER,Anne,Traitement de l’épaule douloureuse hémiplégique spastique:Comparaison de deux sites d’injections intramusculaire de toxine botulinique de type A,215,,7656.0,2012,I,PHRC
36,750000549,FONDATION OPHTALMOLOGIQUE ROTHSCHILD,DEVYS,Jean-Michel,Accès veineux difficile en anesthésie pédiatrique : étude  d’évaluation d’un nouveau dispositif.    ,141,,90000.0,2012,I,PHRC
37,590051801,Groupe Hospitalier de l'Institut Catholique de Lille,DONZE,Cécile,Carence SEP : Evaluation de l'état nutritionnel des patients atteints de sclérose en plaques et lien avec la fatigue,303,,137651.0,2012,I,PHRC
38,670780055,HOPITAUX UNIVERSITAIRES DE STRASBOURG,DORAY ,Bérénice ,La Trisomie 21 chez l'adulte. État des lieux médical et social en Alsace                                                                                                                                                                                                                                       ,196,,200000.0,2012,I,PHRC
39,330781196,CHU HOPITAUX DE BORDEAUX,DOUSSET,Vincent,Etude BBS : « Brain Before Stroke » : Rôle du parenchyme cérébral non ischémié dans la prédiction du pronostic fonctionnel et cognitif post infarctus cérébral.,152,BBS,183889.0,2012,I,PHRC
40,750712184,ASSISTANCE PUBLIQUE AP-HP,DROUOT,Xavier,Etude du sommeil chez les patients adultes porteurs d’un syndrome drépanocytaire majeur présentant des événements paroxystiques nocturnes     ,61,,156000.0,2012,I,PHRC
41,210780581,CHU DIJON,DUCOROY ,Patrick,Détermination de la nature du ligand endogène de TREM-1 et son utilisation comme nouveau biomarqueur diagnostique au cours du sepsis                                                                                                                                                                           ,181,,191152.0,2012,I,PHRC
42,370000481,CHRU DE TOURS,DUCOURAU-BARBARY,Emilie,Etude COMARIS : Effet de la COmbinaison de Methotrexate et d’Adalimumab sur la Réduction de l’Immunisation au cours de la Spondylarthrite ankylosante,207,COMARIS,149456.0,2012,I,PHRC
43,750712184,ASSISTANCE PUBLIQUE AP-HP,DUCREUX,Denis,Evaluation de l'élastographie cérébrale par résonance magnétique. Comparaison entre sujets sains et patients atteints de tumeur gliale     ,54,,112000.0,2012,I,PHRC
44,380780080,CHU GRENOBLE,EGO,Anne,Repérage du Retard de Croissance Intra-Utérin (RCIU): bénéfice sur la mortinatalité et facteurs associés                                                                                                                                                       ,15,RCIU,122000.0,2012,I,PHRC
45,420784878,CHU SAINT-ETIENNE,ESTOUR,Bruno,Activité cérébrale du système opioïde chez les sportifs d’endurance – addiction ou dénutrition ? étude TEP à la [11C]diprenorphine                                                                                                                             ,16,,57284.0,2012,I,PHRC
46,690781810,HOSPICES CIVILS DE LYON,FAURE,Frédéric,ELLIPSE : Etude de phase I évaluant la tolérance du bevacizumab en spray nasal pour le traitement des épistaxis dans la maladie de Rendu-Osler.                                                                                                                 ,17,ELLIPSE,131000.0,2012,I,PHRC
47,420784878,CHU SAINT-ETIENNE,FEASSON,Léonard,Thérapie par l'exercice et FSHD. Etude morphologique et fonctionnelle par RMN du muscle de patients porteurs d'une dystrophie musculaire de type FSHD bénéficiant d'un entrainement physique. Etude ancillaire de l'essai exercice et myopathie - partie 1et 2                 ,18,,98819.0,2012,I,PHRC
48,60785011,CHU DE NICE,FENICHEL,Patrick,"Relargage de polluants organiques lipophiles, perturbateurs endocriniens dans l’obésité morbide au cours de l’amaigrissement induit par la chirurgie bariatrique : Etude cinétique prospective et rôle délétère potentiel sur l’évolution du Syndrome Métabolique. ",281,,200000.0,2012,I,PHRC
49,540002078,CHU DE NANCY,GIBOT ,Sébastien ,Effets de l’administration de cellules souches mésenchymateuses sur la défaillance d’organes au cours du choc septique : Etude pilote                                                                                                                                            ,183,,191994.0,2012,I,PHRC
50,540002078,CHU DE NANCY,GUEANT ,Jean-Louis ,Etude génomique des polymorphismes génétiques impliqués dans les rections allergiques immédiates aux bétalactames (PangenomicBL)                                                                                                                                                                               ,189,,193149.0,2012,I,PHRC
51,440000289,CHU DE NANTES,GUITTON,Christophe,"Etude prospective, multicentrique, randomisée, ouverte et contrôlée évaluant l’intérêt d’un système d’oxygénation à haut débit lors de la pré oxygénation pour l’intubation du malade en insuffisance respiratoire aiguë hypoxémique, Etude PREOXYFLOW",206,PREOXYFLOW,13796.0,2012,I,PHRC
52,130786049,APHM,HABIB ,Gilbert,Impact du Parcours de Soins sur le Pronostic et la Prise en Charge des Endocardites Infectieuses,260,,168000.0,2012,I,PHRC
53,750712184,ASSISTANCE PUBLIQUE AP-HP,HARTLEY,Sarah,Etude pilote des relations doses-concentrationseffets du delta-9-tétrahydrocannabinol sur la capacité à conduire chez des consommateurs chroniques ou occasionnels de cannabis   ,129,,176000.0,2012,I,PHRC
54,340780477,CHU MONTPELLIER,HERRERO,Astrid,Thérapie cellulaire par transplantation d'hépatocytes humains chez des patients atteints d'une insuffisance hépatocellulaire grave.,271,,197000.0,2012,I,PHRC
55,750712184,ASSISTANCE PUBLIQUE AP-HP,HYAFIL,Fabien,Etude pilote évaluant un radio-traceur ciblant l’apoptose dans les plaques d’athérosclérose carotidiennes en tomographie par émission de positons (APOCAR).   ,143,APOCAR,50000.0,2012,I,PHRC
56,970408589,CHR LA REUNION,IACOBELLI,Silvia,"Protidémie précoce et hémodynamique du grand prématuré, quelle relation dans la phase d’adaptation postnatale ?",154,ProHemie,76908.0,2012,I,PHRC
57,750712184,ASSISTANCE PUBLIQUE AP-HP,JOURDAN,Claire,Handicap et parcours de soin à long terme (8 ans) après un traumatisme crânien sévère : une étude observationnelle prospective – TCS8    ,130,TCS8,179000.0,2012,I,PHRC
58,750712184,ASSISTANCE PUBLIQUE AP-HP,KAYEM,Gilles,Projet PACCRETA : Situation clinique à risque élevé de placenta accreta/percreta : Impact des modalités diagnostiques et de la prise en charge sur la morbidité maternelle    ,138,PACCRETA,135000.0,2012,I,PHRC
59,330781196,CHU HOPITAUX DE BORDEAUX,KOROBELNIK,Jean-François,Etude de Cohorte sur la dégénérescence maculaire Liée à l’Age : Incidence et Recherche de facteurs prédisposants (ECLAIR).,157,ECLAIR,197631.0,2012,I,PHRC
60,380780080,CHU GRENOBLE,KRACK,Paul,Amélioration des addictions comportementales de patients parkinsoniens traités par stimulation subthalamique : suivi à long terme.                                                                                                                             ,21,,49491.0,2012,I,PHRC
61,350005179,CHU DE RENNES,LAINE,Fabrice,HEPMEN : Etude des variations des taux sériques de l'hépcidine au cours du cycle menstruel,200,HEPMEN ,76146.0,2012,I,PHRC
62,970100228,CHU DE POINTE A PITRE/ ABYMES,LALANNE-MISTRIH,Marie-Laure,Etude de la variation du bilan lipidique des patients drépanocytaires adultes SS et SC à l’état de base en fonction du phénotype clinique de la drépanocytose – HDL 2012.,158,HDL 2012,183562.0,2012,I,PHRC
63,690781810,HOSPICES CIVILS DE LYON,LAVILLE,Maurice,CARMIN (CARdiovasculaire & Maladies INflammatoires) Evaluation et prise en charge des facteurs de risque cardiovasculaire dans les affections inflammatoires & dysimmunitaires acquises.                                                                       ,24,CARMIN,110000.0,2012,I,PHRC
64,690781810,HOSPICES CIVILS DE LYON,LAVILLE,Martine,VISFATIR : Rôle de la visfatine pendant le prise de poids. Identification d'une nouvelle cible thérapeutique des complications de l'obésité.                                                                                                                   ,23,VISFATIR,137000.0,2012,I,PHRC
65,440000289,CHU DE NANTES,LE TOURNEAU,Thierry,Caractérisation Génotypique et Phénotypique du Prolapsus Valvulaire Mitral de type Barlow,214,,200000.0,2012,I,PHRC
66,750712184,ASSISTANCE PUBLIQUE AP-HP,LEGOFF,Jérôme,Profils des réactivations EBV après allogreffe de cellules souches hématopoïétiques  ,72,,200000.0,2012,I,PHRC
67,970100228,CHU DE POINTE A PITRE/ ABYMES,LEMONNE,Nathalie,"Implication du stress oxydant dans la physiopathologie de la drépanocytose : crises vaso-occlusives, taux d’anticorps anti bande 3 et oxydation du globule rouge.",160,Stress,54520.0,2012,I,PHRC
68,490000031,CHU D'ANGERS,LEROLLE,Nicolas,Etat de santé et qualité de vie des personnes âgées de 75 ans et plus un an après admission en réanimation avec recours à la ventilation mécanique. SENIOREA,202,SENIOREA,55146.0,2012,I,PHRC
69,290000017,CHRU DE BREST,L'HER,Erwan,Intérêt de l'automatisation de l'administration d'oxygène (dispositif FreeO2) dans la prévention des hypoxémies précoces (<ou= H3) et tardives (<ou= J3) en post-opératoire de chirurgie thoracique et bariatrique,199,,167896.0,2012,I,PHRC
70,670780055,HOPITAUX UNIVERSITAIRES DE STRASBOURG,LIVOLSI ,Angelo ,Marqueur circulant de la surexpression des récepteurs muscariniques et pathologies vagales.                                                                                                                                                                                                                    ,197,,71994.0,2012,I,PHRC
71,540002078,CHU DE NANCY,MAILLARD,Louis ,Efficacité d’un dispositif de suivi rapproché des patients atteints de crises psychogènes non épileptiques sur la qualité de vie – essai randomisé non médicamenteux multicentrique (étude EDUQ-CPNE : Evaluation d’un Dispositif de sUivi sur la Qualité de vie dans les Crises Non Epileptiques Psychogènes),184,EDUQ-CPNE,191293.0,2012,I,PHRC
72,140000100,CHU COTE DE NACRE - CAEN,MARCELLI,Christian,EXORHUM : Corrélation phénotype/génotype dans l'arthrose familiale à survenue précoce : contribution de la génétique dans le diagnostic et la prise en charge précoce des patients,300,EXORHUM ,197000.0,2012,I,PHRC
73,760780239,CHU ROUEN,MARIE,Isabelle,Etude de la prévalence des polymyosites et des dermamyosites,311,,109000.0,2012,I,PHRC
74,800000044,CHU AMIENS,MAROLLEAU,Jean-Pierre,Incidence des infections virales respiratoires lors des traitements d'induction et de consolidation des leucémies aigues myeloblastiques,294,,179000.0,2012,I,PHRC
75,750712184,ASSISTANCE PUBLIQUE AP-HP,MEGARBANE,Bruno,Intérêt d’un dispositif mécanique simple de contrôle de la pression du ballonnet de la sonde d’intubation pour prévenir les complications précoces de l’intubation et réduire le risque de pneumonie acquise sous ventilation mécanique ,66,,111000.0,2012,I,PHRC
76,330781196,CHU HOPITAUX DE BORDEAUX,MEISSNER,Wassilios,Mise en évidence de BIOmarqueurs dans les syndromes PARKinsoniens – BIOPARK.,161,BioPark,140105.0,2012,I,PHRC
77,340780477,CHU MONTPELLIER,MESTRE,Sandrine,Validation des propriétés métrologiques du questionnaire de qualité de vie LIMPHOQOL,275,LIMPHOQOL,189000.0,2012,I,PHRC
78,130786049,APHM,METELLUS,Philippe,"Evaluation prospective de l’impact d’un entretien pré-opératoire sur le vécu de la chirurgie éveillée du cerveau en neurochirurgie : Etude comparative, randomisée",262,,109000.0,2012,I,PHRC
79,590780193,CHRU LILLE,MICHAUD,Laurent,Fréquence du dumping syndrome chez les enfants opérés à la naissance d'une atrésie de l'oesophage,310,,17340.0,2012,I,PHRC
80,350005179,CHU DE RENNES,MOIRAND,Romain,Intérêt de l’élastométrie impulsionnelle ultrasonore dans le dépistage de la fibrose hépatique sévère dans la maladie alcoolique du foie au cours du sevrage,212,,146915.0,2012,I,PHRC
81,440000289,CHU DE NANTES,MONTASSIER,Emmanuel,Etude CLINPCT. Réévaluation clinique Versus Procalcitonine pour réduire la durée de l’antibiothérapie des Pneumopathies Aiguës Communautaires,213,CLINPCT,123305.0,2012,I,PHRC
82,330781196,CHU HOPITAUX DE BORDEAUX,MOORE,Nicholas,Combinaison d’Eudes sur la Santé et l’Insécurité Routière - Urgences - suite : CESIR-U2.,163,CESIR-U2,198979.0,2012,I,PHRC
83,690781810,HOSPICES CIVILS DE LYON,MORELON,Emmanuel,Intérêt de la transplantectomie systématique versus décroissance du traitement immunosuppresseur après perte du greffon rénal : essai randomisé multicentrique en Rhône – Alpes                                                                                 ,31,,162000.0,2012,I,PHRC
84,250000015,CHU BESANCON,MOULIN ,Thierry,Apport de l’électroencéphalographie hauterésolution par rapport à l’électroencéphalographie conventionnelle dans le pronostic de la récupération de conscience des patients dans le coma d’origine anoxique : étude « COMETIQUE »                                                                              ,174,COMETIQUE ,177190.0,2012,I,PHRC
85,750712184,ASSISTANCE PUBLIQUE AP-HP,NGUYEN,Stéphanie,Etude de l’immunité Natural Killer au cours des infections par le CMV ou l’Adénovirus après allogreffe de cellules souches hématopoïétiques    ,107,,124000.0,2012,I,PHRC
86,590780193,CHRU LILLE,NSEIR,Saad,Impact de la forme du ballonnet de la sonde d’intubation sur la microinhalation du liquide gastrique chez les patients de réanimation,308,,196555.0,2012,I,PHRC
87,750712184,ASSISTANCE PUBLIQUE AP-HP,PANIS,Yves,Chirurgie colique laparoscopique à trocart unique. Etude Multicentrique randomisée  ,67,,70000.0,2012,I,PHRC
88,130786049,APHM,PAPAZIAN,Laurent,"Apport d’une liste de Questions Fréquemment Posées à l’Amélioration de la qualité de l'Information en Réanimation. Essai Multicentrique Randomisé Contrôlé.
Etude FAMIREA XVII",263,FAMIREA-XVII,191000.0,2012,I,PHRC
89,290000017,CHRU DE BREST,PASQUIER,Elisabeth,"Déterminants Génétiques des Fausses Couches Spontanées Répétées,Inexpliquées. GenDEFI, étude cas-témoins",204,GenDEFI,184656.0,2012,I,PHRC
90,750712184,ASSISTANCE PUBLIQUE AP-HP,PAUGAM-BURTZ,Catherine,Facteurs pronostiques des complications cardiovasculaires apres tranplantation hépatique : étude CCVTH    ,123,CCVTH,200000.0,2012,I,PHRC
91,750712184,ASSISTANCE PUBLIQUE AP-HP,PAYEN,Didier,Effets des solutés de remplissage sur la réponse inflammatoire dans le modèle d’endotoxémie chez le volontaire sain (SOLITOX)   ,108,SOLITOX,170000.0,2012,I,PHRC
92,860780980,CHU DE POITIERS,PINSARD,Michel,Comparaison de deux stratégies pour la réalisation de l’épreuve d’apnée dans le diagnostic de la mort encéphalique chez le donneur potentiel d'organes - CPAPNEE STUDY,211,CPAPNEE STUDY,49456.0,2012,I,PHRC
93,440000289,CHU DE NANTES,PISTORIUS,Marc-Antoine,Investigation Clinique et Moléculaire de Formes Familiales de Maladie Variqueuse,209,,175656.0,2012,I,PHRC
94,860780980,CHU DE POITIERS,POURRAT,Olivier,"Etude d’un marqueur de microangiopathie, l’ADAMTS13 et de marqueurs d’inflammation et d’antiangiogénèse dans le syndrome HELLP du postpartum",216,,65000.0,2012,I,PHRC
95,750712184,ASSISTANCE PUBLIQUE AP-HP,PRESEDO,Ana,Evaluation médico-économique et médico-sociale de deux types de traitement conservateur du pied bot varus équin  ,75,,191000.0,2012,I,PHRC
96,210780581,CHU DIJON,QUENOT,Jean-Pierre ,"Influence de la vulnérabilité socio-économique sur la gravité initiale et le pronostic des patients admis en réanimation = étude de cohorte, prospective, multicentrique - Etude IVOIRE                                                                                                                        ",180,IVOIRE,188242.0,2012,I,PHRC
97,330781196,CHU HOPITAUX DE BORDEAUX,REBOLA,Muriel,Essai clinique randomisé en double insu de l'efficacité du traitement précoce par dompéridone chez les mères de prématurés de moins de 31 SA présentant une insuffisance de lactation - essai MARMOTTE.,167,Marmotte,197218.0,2012,I,PHRC
98,750712184,ASSISTANCE PUBLIQUE AP-HP,RIGNON-BRET,Christophe,Interêt d’un substitut osseux en prothèse amovible complète immédiate. ,63,,132000.0,2012,I,PHRC
99,760780239,CHU ROUEN,RIVES,Nathalie,Les vactuoles des têtes spermatiques sont elles associées à des altératons du noyau du spermatozoïde ?,317,,175000.0,2012,I,PHRC
100,860780980,CHU DE POITIERS,ROBERT,René,Influence du traitement par hémoperfusion avec des membranes recouvertes de polymyxine B sur la cinétique des cytokines chez des patients en choc septique au cours d’une péritonite  et recherche d’un profil cytokinique prédictif de la réponse à la technique,210,,109656.0,2012,I,PHRC
101,750712184,ASSISTANCE PUBLIQUE AP-HP,ROOS,Caroline,"Essai randomisé en simple aveugle étudiant l'efficacité de la position de Trendelenburg à 30°, pendant 24 heures sur le résultat du blood patch épidural dans le traitement des hypotensions intracrâniennes spontanées. ",68,,29000.0,2012,I,PHRC
102,780001236,CH INTERCOMMUNAL DE POISSY ST-GERMAIN,ROZENBERG,Patrick,Évaluation de l'efficacité de la mesure échographique de l'épaisseur du segment inférieur associée à une règle de décision pour réduire la morbi-mortalité foetale et maternelle dans la prise en charge des accouchements des femmes avec antécédent de césari ,126,,200000.0,2012,I,PHRC
103,690781810,HOSPICES CIVILS DE LYON,RYVLIN,Philippe,Imagerie par Résonance Magnétique fonctionnelle (IRMf) des Fonctions Cognitives et de la Zone Epileptogène chez des Patients Epileptiques explorés simultanément en StéréoElectroEncéphaloGraphie (SEEG)                                                         ,35,,85800.0,2012,I,PHRC
104,690781810,HOSPICES CIVILS DE LYON,SAOUD,Mohamed,Evaluation de l’impact d’un entrainement à la gestion émotionnelle sur les complications de la transplantation cardiaque                                                                                                                                             ,36,,154000.0,2012,I,PHRC
105,970408589,CHR LA REUNION,SCHNEEBELI,Stéphane,Influence du niveau de force musculaire sur l’énergétique de la marche.,168,Obelix,199677.0,2012,I,PHRC
106,750712184,ASSISTANCE PUBLIQUE AP-HP,SHARSHAR,Tarek,Bénéfices et tolérance de l'exercice chez les patients ayant une myasthénie auto-immune généralisée et stabilisée (MGEX STUDY)   ,134,MGEX STUDY,169000.0,2012,I,PHRC
107,310781406,CHU DE TOULOUSE,SIE,Pierre,Evaluation multicentrique d'une nouvelle approche diagnostique des anomalies plaquettaires constitutionnelles.,169,,180155.0,2012,I,PHRC
108,440000289,CHU DE NANTES,SOUEIDAN,Assem,Incidence des traitements par anti-interleukine 6 – Parodontites – Polyarthrites rhumatoïdes,203,,68021.0,2012,I,PHRC
109,630780989,CHU DE CLERMONT-FERRAND,TATAR,Zuzana,Variations du métabolome en fonction de l'activité de la polyarthrite rhumatoïde                                                                                                                                                                               ,37,,73458.0,2012,I,PHRC
110,690781810,HOSPICES CIVILS DE LYON,THAI-VAN,Hung,"Etude « ASTRAUCOLE » : ASymétrie, TRaitement AUditif et COmpétences en LEcture, chez les enfants normolecteurs et dyslexiques phonologiques                                                                                                                                             ",38,ASTRAUCOLE,112000.0,2012,I,PHRC
111,630780989,CHU DE CLERMONT-FERRAND,THIBAULT,Ronan,"Approche multimodale de la dénutrition de l'insuffisance cardiaque chronique : essai contrôlé, randomisé (étude NUTRICARD)                                                                                                                                             ",39,NUTRICARD,167900.0,2012,I,PHRC
112,750712184,ASSISTANCE PUBLIQUE AP-HP,TISSIERES,Pierre,Profil immuno-inflammatoire après greffe du foie chez l’enfant comme facteur prédictif de complications infectieuses     ,57,,200000.0,2012,I,PHRC
113,590780193,CHRU LILLE,TURCK,Dominique,Comparaison du taux de DMBT1 (mucine-like) dans l’expectoration de patients,305,,95396.0,2012,I,PHRC
114,690781810,HOSPICES CIVILS DE LYON,VANHEMS,Philippe,Effet de la vaccination antigrippale des soignants sur la pévention de la grippe nosocomiale chez les patients en unités de court séjour : une étude de cohorte prospective multicentrique                                                                                                 ,41,,155000.0,2012,I,PHRC
115,870000015,CHU DE LIMOGES,VERGNE-SALLE,Pascale,Evaluation multidimensionnelle de la douleur dans la polyarthrite rhumatoïde.,172,,93019.0,2012,I,PHRC
116,750712184,ASSISTANCE PUBLIQUE AP-HP,VIALA,Karine,Identification des mécanismes d’action des immunoglobulines intraveineuses dans les polyradiculoneuropathies inflammatoires démyélinisantes chroniques (PIDC) par l’analyse du profil d’expression génique dans les cellules mononucléées sanguines  ,113,,162000.0,2012,I,PHRC
117,760780239,CHU ROUEN,VITTECOQ,Olivier,"Prédiction d'un echappement secondaire à un anticorps monoclonal anti-TFN en vue d'une rotation rapide de biothérapie chez les patients atteints de spondylarthropathie : monitorage par un test multiplex mesurant les taux sériques du médicament, du TFNa et des ADAb",313,,196556.0,2012,I,PHRC
